timestamp,lux,occupied
2026-09-22T14:26:00,881.67,1
2026-09-22T14:28:00,896.67,1
2026-09-22T14:30:00,854.17,1
2026-09-22T14:32:00,690.83,1
2026-09-22T14:34:00,772.5,1
2026-09-22T14:36:00,819.17,1
2026-09-22T14:38:00,760.83,1
2026-09-22T14:40:00,755.0,1
2026-09-22T14:42:00,826.67,1
2026-09-22T14:44:00,821.67,1
2026-09-22T14:46:00,801.67,1
2026-09-22T14:48:00,834.17,1
2026-09-22T14:50:00,838.33,1
2026-09-22T14:52:00,798.33,1
2026-09-22T14:54:00,760.0,1
2026-09-22T14:56:00,723.33,1
2026-09-22T14:58:00,706.67,1
2026-09-22T15:00:00,710.0,1
2026-09-22T15:02:00,714.17,1
2026-09-22T15:04:00,668.33,1
2026-09-22T15:06:00,660.0,1
2026-09-22T15:08:00,657.5,1
2026-09-22T15:10:00,645.0,1
2026-09-22T15:12:00,637.5,1
2026-09-22T15:14:00,628.33,1
2026-09-22T15:16:00,620.0,1
2026-09-22T15:18:00,611.67,1
2026-09-22T15:20:00,608.33,1
2026-09-22T15:22:00,604.17,1
2026-09-22T15:24:00,597.5,1
2026-09-22T15:26:00,590.0,1
2026-09-22T15:28:00,577.5,1
2026-09-22T15:30:00,573.33,1
2026-09-22T15:32:00,567.5,1
2026-09-22T15:34:00,560.83,1
2026-09-22T15:36:00,556.67,1
2026-09-22T15:38:00,552.5,1
2026-09-22T15:40:00,548.33,1
2026-09-22T15:42:00,545.0,1
2026-09-22T15:44:00,542.5,1
2026-09-22T15:46:00,538.33,1
2026-09-22T15:48:00,535.0,1
2026-09-22T15:50:00,532.5,1
2026-09-22T15:52:00,528.33,1
2026-09-22T15:54:00,525.0,1
2026-09-22T15:56:00,522.5,1
2026-09-22T15:58:00,520.0,1
2026-09-22T16:00:00,517.5,1
2026-09-22T16:02:00,515.0,1
2026-09-22T16:04:00,511.67,1
2026-09-22T16:06:00,510.0,1
2026-09-22T16:08:00,507.5,1
2026-09-22T16:10:00,505.0,1
2026-09-22T16:12:00,501.67,1
2026-09-22T16:14:01,500.0,1
2026-09-22T16:16:01,496.67,1
2026-09-22T16:18:01,488.33,1
2026-09-22T16:20:01,479.17,1
2026-09-22T16:22:01,470.0,1
2026-09-22T16:24:01,466.67,1
2026-09-22T16:26:01,464.17,1
2026-09-22T16:28:01,461.67,1
2026-09-22T16:30:01,460.0,1
2026-09-22T16:32:01,457.5,1
2026-09-22T16:34:01,452.5,1
2026-09-22T16:36:01,445.83,1
2026-09-22T16:38:01,442.5,1
2026-09-22T16:40:01,439.17,1
2026-09-22T16:42:01,436.67,1
2026-09-22T16:44:01,433.33,1
2026-09-22T16:46:01,431.67,1
2026-09-22T16:48:01,429.17,1
2026-09-22T16:50:01,426.67,1
2026-09-22T16:52:01,424.17,1
2026-09-22T16:54:01,421.67,1
2026-09-22T16:56:01,418.33,1
2026-09-22T16:58:01,415.83,1
2026-09-22T17:00:01,412.5,1
2026-09-22T17:02:01,409.17,1
2026-09-22T17:04:01,405.0,1
2026-09-22T17:06:01,400.83,1
2026-09-22T17:08:01,396.67,1
2026-09-22T17:10:01,392.5,1
2026-09-22T17:12:01,387.5,1
2026-09-22T17:14:01,383.33,1
2026-09-22T17:16:01,377.5,1
2026-09-22T17:18:01,373.33,1
2026-09-22T17:20:01,366.67,1
2026-09-22T17:22:01,360.83,1
2026-09-22T17:24:01,354.17,1
2026-09-22T17:26:01,347.5,1
2026-09-22T17:28:01,340.0,1
2026-09-22T17:30:01,332.5,1
2026-09-22T17:32:01,324.17,1
2026-09-22T17:34:01,315.83,1
2026-09-22T17:36:01,306.67,1
2026-09-22T17:38:01,297.5,1
2026-09-22T17:40:01,286.67,1
2026-09-22T17:42:01,275.83,1
2026-09-22T17:44:01,264.17,1
2026-09-22T17:46:01,250.83,1
2026-09-22T17:48:01,237.5,1
2026-09-22T17:50:01,225.0,1
2026-09-22T17:52:01,210.83,1
2026-09-22T17:54:01,195.83,1
2026-09-22T17:56:01,180.0,1
2026-09-22T17:58:01,164.17,1
2026-09-22T18:00:01,149.17,1
2026-09-22T18:02:01,133.33,1
2026-09-22T18:04:01,117.5,1
2026-09-22T18:06:01,102.5,1
2026-09-22T18:08:01,86.67,1
2026-09-22T18:10:01,71.67,1
2026-09-22T18:12:01,59.17,1
2026-09-22T18:14:01,47.5,1
2026-09-22T18:16:01,36.67,1
2026-09-22T18:18:01,27.5,1
2026-09-22T18:20:01,20.0,1
2026-09-22T18:22:01,14.17,1
2026-09-22T18:24:01,9.17,1
2026-09-23T09:22:15,0.0,1
2026-09-23T09:24:15,38913.33,1
2026-09-23T09:26:15,38348.33,1
2026-09-23T09:28:15,39405.83,1
2026-09-23T09:30:15,39825.83,1
2026-09-23T09:32:15,39289.16,1
2026-09-23T09:34:15,36309.16,1
2026-09-23T09:36:15,39406.66,1
2026-09-23T09:38:15,40815.83,1
2026-09-23T09:42:15,41998.33,1
2026-09-23T09:44:15,41265.83,1
2026-09-23T09:46:15,41036.66,1
2026-09-23T09:48:15,39398.33,1
2026-09-23T09:50:15,44533.33,1
2026-09-23T09:52:15,41182.5,1
2026-09-23T09:54:15,42143.33,1
2026-09-23T09:56:15,44155.0,1
2026-09-23T09:58:15,44065.83,1
2026-09-23T10:00:15,42353.33,1
2026-09-23T10:02:15,43757.5,1
2026-09-23T10:04:15,44380.0,1
2026-09-23T10:06:15,46732.5,1
2026-09-23T10:08:15,45438.33,1
2026-09-23T10:10:15,47863.33,1
2026-09-23T10:12:15,46719.16,1
2026-09-23T10:14:15,45111.66,1
2026-09-23T10:16:15,48460.83,1
2026-09-23T10:18:16,48268.33,1
2026-09-23T10:20:16,48405.0,1
2026-09-23T10:22:16,45660.0,1
2026-09-23T10:24:16,46785.83,1
2026-09-23T10:26:16,47110.83,1
2026-09-23T10:28:16,49815.0,1
2026-09-23T10:30:16,46865.83,1
2026-09-23T10:32:16,49250.0,1
2026-09-23T10:34:16,49484.16,1
2026-09-23T10:36:16,42508.33,1
2026-09-23T10:38:16,48253.33,1
2026-09-23T10:40:16,48503.33,1
2026-09-23T10:42:16,47776.66,1
2026-09-23T10:44:16,22150.83,1
2026-09-23T10:46:16,2108.33,1
2026-09-23T10:48:16,1954.17,1
2026-09-23T10:50:16,1926.67,1
2026-09-23T10:52:16,1935.83,1
2026-09-23T10:54:16,2016.67,1
2026-09-23T10:56:16,2107.5,1
2026-09-23T10:58:16,2265.0,1
2026-09-23T11:00:16,2333.33,1
2026-09-23T11:02:16,2240.0,1
2026-09-23T11:04:16,2124.17,1
2026-09-23T11:06:16,2007.5,1
2026-09-23T11:08:16,1890.0,1
2026-09-23T11:10:16,1810.0,1
2026-09-23T11:12:16,1773.33,1
2026-09-23T11:14:16,1841.67,1
2026-09-23T11:16:16,1864.17,1
2026-09-23T11:18:16,1763.33,1
2026-09-23T11:20:16,1793.33,1
2026-09-23T11:22:16,1888.33,1
2026-09-23T11:24:16,1703.33,1
2026-09-23T11:26:16,1561.67,1
2026-09-23T11:28:16,1507.5,1
2026-09-23T11:30:16,1454.17,1
2026-09-23T11:32:16,1497.5,1
2026-09-23T11:34:16,1529.17,1
2026-09-23T11:36:16,1526.67,1
2026-09-23T11:38:16,1494.17,1
2026-09-23T11:40:16,1486.67,1
2026-09-23T11:42:16,1456.67,1
2026-09-23T11:44:16,1425.0,1
2026-09-23T11:46:16,1425.83,1
2026-09-23T11:48:16,1392.5,1
2026-09-23T11:50:16,1378.33,1
2026-09-23T11:52:16,1329.17,1
2026-09-23T11:54:16,1319.17,1
2026-09-23T11:56:16,1330.0,1
2026-09-23T11:58:16,1302.5,1
2026-09-23T12:00:16,1297.5,1
2026-09-23T12:02:16,1292.5,1
2026-09-23T12:04:16,1273.33,1
2026-09-23T12:06:16,1258.33,1
2026-09-23T12:08:16,1249.17,1
2026-09-23T12:10:16,1267.5,1
2026-09-23T12:12:16,1226.67,1
2026-09-23T12:14:16,1190.83,1
2026-09-23T12:16:16,1191.67,1
2026-09-23T12:18:16,1181.67,1
2026-09-23T12:20:16,1177.5,1
2026-09-23T12:22:16,1162.5,1
2026-09-23T12:24:16,1160.0,1
2026-09-23T12:26:16,1189.17,1
2026-09-23T12:28:16,1209.17,1
2026-09-23T12:30:16,1230.0,1
2026-09-23T12:32:16,1204.17,1
2026-09-23T12:34:16,1140.83,1
2026-09-23T12:36:16,1104.17,1
2026-09-23T12:38:16,1102.5,1
2026-09-23T12:40:16,1096.67,1
2026-09-23T12:42:16,1098.33,1
2026-09-23T12:44:16,1095.0,1
2026-09-23T12:46:16,1080.0,1
2026-09-23T12:48:16,1070.83,1
2026-09-23T12:50:16,1080.83,1
2026-09-23T12:52:16,1094.17,1
2026-09-23T12:54:16,1108.33,1
2026-09-23T12:56:16,1120.0,1
2026-09-23T12:58:16,1141.67,1
2026-09-23T13:00:16,1153.33,1
2026-09-23T13:02:16,1146.67,1
2026-09-23T13:04:16,1131.67,1
2026-09-23T13:06:16,1118.33,1
2026-09-23T13:08:16,1114.17,1
2026-09-23T13:10:16,1116.67,1
2026-09-23T13:12:16,1110.0,1
2026-09-23T13:14:16,1093.33,1
2026-09-23T13:16:16,1074.17,1
2026-09-23T13:18:16,1107.5,1
2026-09-23T13:20:16,1097.5,1
2026-09-23T13:22:16,1085.0,1
2026-09-23T13:24:16,1066.67,1
2026-09-23T13:26:16,1080.0,1
2026-09-23T13:28:16,1068.33,1
2026-09-23T13:30:16,1070.0,1
2026-09-23T13:32:16,1084.17,1
2026-09-23T13:34:16,1095.0,1
2026-09-23T13:36:16,1105.83,1
2026-09-23T13:38:16,1098.33,1
2026-09-23T13:40:16,1090.83,1
